ArtistId,Name,Songs_num
51,Queen,22
157,Dread Zeppelin,14
8,Audioslave,14
93,JET,13
48,Barão Vermelho,13
38,Banda Black Rio,12
49,"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",10
204,Temple of the Dog,9
68,Miles Davis,9
13,Body Count,8
87,Godsmack,3
262,Charles Dutoit & L'Orchestre Symphonique de Montréal,2
267,Göteborgs Symfoniker & Neeme Järvi,1
